epoch 1 [0/1668], valid loss: 93.78
epoch 1 [20/1668], valid loss: 86.52
epoch 1 [40/1668], valid loss: 83.96
epoch 1 [60/1668], valid loss: 82.74
epoch 1 [80/1668], valid loss: 82.39
epoch 1 [100/1668], valid loss: 81.15
epoch 1 [120/1668], valid loss: 79.94
epoch 1 [140/1668], valid loss: 78.50
epoch 1 [160/1668], valid loss: 76.45
epoch 1 [180/1668], valid loss: 75.25
epoch 1 [200/1668], valid loss: 73.49
epoch 1 [220/1668], valid loss: 72.38
epoch 1 [240/1668], valid loss: 70.99
epoch 1 [260/1668], valid loss: 69.08
epoch 1 [280/1668], valid loss: 68.08
epoch 1 [300/1668], valid loss: 67.04
epoch 1 [320/1668], valid loss: 65.45
epoch 1 [340/1668], valid loss: 64.56
epoch 1 [360/1668], valid loss: 64.05
epoch 1 [380/1668], valid loss: 63.01
epoch 1 [400/1668], valid loss: 61.22
epoch 1 [420/1668], valid loss: 59.70
epoch 1 [440/1668], valid loss: 58.71
epoch 1 [460/1668], valid loss: 57.58
epoch 1 [480/1668], valid loss: 56.55
epoch 1 [500/1668], valid loss: 55.77
epoch 1 [520/1668], valid loss: 55.67
epoch 1 [540/1668], valid loss: 54.81
epoch 1 [560/1668], valid loss: 54.27
epoch 1 [580/1668], valid loss: 54.40
epoch 1 [600/1668], valid loss: 54.53
epoch 1 [620/1668], valid loss: 53.44
epoch 1 [640/1668], valid loss: 52.30
epoch 1 [660/1668], valid loss: 51.40
epoch 1 [680/1668], valid loss: 51.46
epoch 1 [700/1668], valid loss: 51.70
epoch 1 [720/1668], valid loss: 51.90
epoch 1 [740/1668], valid loss: 50.68
epoch 1 [760/1668], valid loss: 49.86
epoch 1 [780/1668], valid loss: 49.61
epoch 1 [800/1668], valid loss: 49.55
epoch 1 [820/1668], valid loss: 49.21
epoch 1 [840/1668], valid loss: 51.07
epoch 1 [860/1668], valid loss: 49.60
epoch 1 [880/1668], valid loss: 48.73
epoch 1 [900/1668], valid loss: 47.87
epoch 1 [920/1668], valid loss: 47.95
epoch 1 [940/1668], valid loss: 48.06
epoch 1 [960/1668], valid loss: 47.14
epoch 1 [980/1668], valid loss: 46.77
epoch 1 [1000/1668], valid loss: 47.08
epoch 1 [1020/1668], valid loss: 46.65
epoch 1 [1040/1668], valid loss: 46.39
epoch 1 [1060/1668], valid loss: 46.92
epoch 1 [1080/1668], valid loss: 47.14
epoch 1 [1100/1668], valid loss: 46.59
epoch 1 [1120/1668], valid loss: 45.85
epoch 1 [1140/1668], valid loss: 46.03
epoch 1 [1160/1668], valid loss: 44.69
epoch 1 [1180/1668], valid loss: 43.88
